ED0004;1;Edelzwicker Joie d'Alsace 75cl;75cl;;C’est un vin d’assemblage, issu de plusieurs cépages blancs d'Alsace. C’est un vin au nez fruité et harmonieux et à la bouche souple et équilibrée.;Il est principalement composé de Chasselas, Sylvaner, Pinot Blanc et Gewurztraminer.;Un vin léger et agréable pour la consommation courante et les entrées : salades classiques, charcuteries, oeufs, fruits de mer, quiches, souffés, volailles rôties, etc.;10-12°C;2 à 3 ans;5,20 €
CH0007;1;Chasselas 75cl;75cl;2013;C’est un vin sec, léger et désaltérant. Après avoir été un des principaux cépages alsaciens, il représente aujourd’hui  moins de 1% de l'encépagement en Alsace. ;Entrant généralement dans la composition de l’Edelzwicker et ne se trouve que très rarement en mono-cépage.;Agréable sur les entrées, les poissons, les fromages fondus ainsi que pour la préparation des apéritifs à base de crème de cassis.;10-12°C;3 à 5 ans;5,30 €
SY0023;1;Sylvaner 75cl;75cl;2012;Cépage typique d'Alsace, c'est un vin floral et croquant, bien typé. En bouche, il est frais et léger.;;Ce vin s'accorde avec la plupart des mets et s'apprécie plus particulièrement sur les bouchées, les soufflés, les terrines, les fruits de mer (en particulier les huîtres), les poissons grillés et charcuteries.;10-12°C;4 à 5 ans;5,30 €
PB0045;1;Pinot Blanc 75cl;75cl;2012;C'est un vin composé des cépages Pinot Blanc et Pinot Auxerrois (40/60). Vin frais, floral, avec une jolie sucrosité bien intégrée.;;Sa saveur fine s'emploie partout où l'usage d'un vin blanc s'impose. Rehausse merveilleusement les tourtes, quiches, pâtés en croûte et tartes à l'oignon.;10-12°C;4 à 5 ans;6,40 €
RI0089;1;Riesling 75cl;75cl;2012;Triomphe du terroir alsacien. Vins sec, racé, viril, au fruité exquis qui offre un bouquet d'une grande finesse avec des nuances parfois minérales ou florales.;Vin qui offre au nez des notes légèrement boisée et végétale. En bouche, il est un peu tannique et acidulé et offre un bon équilibre.;Incomparable avec les poissons, les crustacés, les fruits de mer, les viandes blanches, la choucroute.;10-12°C;4 à 5 ans;6,90 €
TO0113;1;Pinot Gris 75cl;75cl;2013;C'est un vin souple, équilibré et frais, de complexité moyenne. L'attaque est relativement souple.;;Il accompagne volontiers les poissons accommodés et les différentes viandes blanches (poulet, dinde, veau), les rognons de veau, quiches, fricassé de volaille, mais également les fromages à pâte mi-cuite (St Nectaire).;10-12°C;4 à 5 ans;7,60 €
GW0107;1;Gewurztraminer 75cl;75cl;2012;Cépage typique d'Alsace, c'est un vin corsé et bien charpenté, avec de l'ampleur et du gras.;Expressif, il révèle des notes épicées et poivrées. C'est un vin relativement sec, mais bien équilibré.;A découvrir sur la cuisine d'Extrème Orient, ou les fromages de caractère (le Munster, les bleus). Son caractère sec nous permet également de l'associer à des mets moins courants pour ce cépage tels les poissons gras et crustacés en sauce homardine, ou encore les terrines de saumon.;10-12°C;4 à 5 ans;8,60 €
PN0067;1;Pinot Noir 75cl;75cl;2013;Le Pinot Noir alsacien a toujours été un vin léger et frais aux arômes de fruits rouges et aux tanins fondus.;Ce Pinot Noir 2013 est un vin de couleur rouge à reflets violacés. Le nez est franc, ouvert sur les fruits rouges. La bouche est structurée, dans un équilibre tannique souple et agréable.;Il accompagnera très bien un buffet campagnard, la charcuterie, les fromages de type Camembert, Brie ou Coulommier, les tourtes, la volaille, les grillades.;10-12°C;4 à 5 ans;8,70 €
PB0049;1;Pinot Printemps 75cl;75cl;2014;Mis en bouteille dès février 2015, cette cuvée d’assemblage de Pinot Blanc et d’Auxerrois nous offre un vin frais ressemblant à un magnifique bouquet printanier de fleurs blanches.;Le nez présente des arômes frais et croquants de fleurs et de fruits frais. La bouche démarre sur la fraicheur, avec une belle attaque aromatique, soutenue par un corps souple et équilibré. ;Un agréable vin de gastronomie qui accompagne avec bonheur les entrées printanières, les poissons gras grillés, les viandes blanches et tout particulièrement les asperges accompagnées de charcuterie. Il trouvera sa place pour toute demande de vin blanc. Le Pinot Printemps peut parfaitement servir d’apéritif  pour le plus grand plaisir de partager un bon verre d’Alsace accompagné de bretzels.;10-12°C;2 à 4 ans;7,20 €
PN0066;1;Eté Rosé 75cl;75cl;2013;;Elaboré à base de Pinot Noir, ce rosé d'Alsace révèle au nez de belles notes d'agrumes et de pamplemousse rose. L'ensemble est frais et vif, sur des notes acidulées, avec une belle consistance et un bon équilibre.;Ce Rosé est un rayon de soleil qui accompagne avec bonheur tous les plats d'été, les salades composées, les viandes grillées et les fromages frais.;10-12°C;2 à 4 ans;8,00 €
