ED0018;2;Alliance;75cl;2012;Cette cuvée élaborée par l’Alliance de cépages nobles (Gewurztraminer, Muscat, Pinot Gris et Riesling), nous permet de vous proposer un vin agréable et plaisant.;C’est un vin franc, net, expressif, avec des nuances beurrées, exotiques et fruitées au nez. L’attaque en bouche est ample et structurée, c’est un vin d’un bel équilibre.;Vous pourrez le servir à l’apéritif, sur les entrées et tous les plats de notre terroir.;10-12°C;3 à 5 ans;7,00 €
PB0050;2;Pinot Blanc - Cuvée Spéciale 75cl;75cl;2012;;;;10-12°C;4 à 6 ans;7,80 €
RI0095;2;Riesling - Cuvée du Roi Clovis - 75cl;75cl;2012;Triomphe du terroir alsacien. Vins sec, racé, viril, au fruité exquis qui offre un bouquet d'une grande finesse avec des nuances parfois minérales ou florales.;C'est un vin qui offre un nez ouvert et mur avec une bouche aux notes d'agrumes, assez ample et légèrement boisée.;Incomparable sur les poissons, fruits de mer, crustacés, les escargots, terrines de poissons, andouillettes, pâté en croûte, le Comté, le Gruyère, les tommes de brebis.;10-12°C;3 à 5 ans;8,50 €
MU0028;2;Muscat - Cuvée Spéciale 75cl;75cl;2013;Ce cépage se distingue des muscats doux du midi par son caractère sec et délicieusement bouqueté.;C'est un vin franc, frais et muscaté, avec un bon équilibre gustatif en bouche.;Vin d'apéritif, de réception et de dessert, à découvrir sur la cuisine exotique et en particulier la cuisine asiatique, ainsi que sur les asperges, le chèvre frais, terrine froides de légumes, légumes croquants.;10-12°C;2 à 4 ans;8,50 €
TO0116;2;Pinot Gris - Cuvée de la Reine Clotilde 75cl;75cl;2012;Son nez s'ouvre sur des notes fruitées, de pêches. La bouche est fine et élégante aux arômes fruités.;;Il accompagne volontiers les poissons accommodés, les volailles et viandes blanches, les fromages à pâte mi-cuite (St Nectaire), les bleus, les tommes.;10-12°C;4 à 6 ans;9,20 €
GW0123;2;Gewurztraminer - Cuvée St Rémy 75cl;75cl;2012;Cépage typique d'Alsace corsé et charpenté.;Nez épicé aux notes de noix de muscade, avec une bonne structure en bouche.;Vin d'apéritif et de réception. A découvrir également sur la cuisine d'Extrême Orient, ou les fromages de caractère (le Munster, le Roquefort, la Fourme, l'Epoisse). Sa texture nous permet également de l'associer à des mets moins courants pour ce cépage tels les poissons gras et crustacés en sauce homardine, ou encore les terrines de saumon.;10-12°C;4 à 6 ans;10,10 €
PN0069;2;Pinot Noir - Rouge d'Alsace 75cl;75cl;2013;Ce Pinot Noir, vinifié en rouge et paré d'une belle robe dense à la teinte rouge violacée, offre un nez expressif, avec des arômes de fruits rouges. C'est un vin tannique, avec une bonne persistance en bouche.;;Rayonnant sur un buffet campagnard, la charcuterie, les viandes rôties en sauces, les daubes, les ragoûts, les fromages de type Camembert, Brie ou Coulommier, les tourtes.;10-12°C;4 à 6 ans;11,00 €
RI0066;2;Riesling - Cuvée du Roi Clovis - 150cl;150cl;2003;Triomphe du terroir alsacien. Vins sec, racé, viril, au fruité exquis qui offre un bouquet d'une grande finesse avec des nuances parfois minérales ou florales.;;Incomparable sur les poissons, terrines de poissons, fruits de mer, choucroute, escargots, le Gruyère, les tommes de Brebis, la raclette.;10-12°C;6 à 12 ans;17,30 €
TO0118;2;Pinot Gris - Cuvée de la Reine Clotilde 150cl;150cl;2012;Son nez s'ouvre sur des notes fruités, de pêches. La bouche est fine et élégante aux arômes fruités.;;Il accompagne volontiers les poissons accommodés, les volailles et viandes blanches, les fromages à pâte mi-cuite (St Nectaire), les bleus, les tommes.;10-12°C;6 à 12 ans;22,00 €
GW0098;2;Gewurztraminer - Cuvée St Rémy 150cl;150cl;2008;Vin évoquant une grande complexité aromatique. Des fruits exotiques, du miel, des fleurs, des épices, des fruits secs. Charpenté et élégant sa rondeur veloutée séduira votre palais.;;Vins d'apéritif, de réception et de dessert. A découvrir sur les fumés (saumon, haddock), toute la cuisine méditerranéenne, la cuisine d'Extrême-Orient : chinoise, japonaise, thaïlandaise, indienne, les poissons et crustacés en sauce homardine, les Harengs àla crème, les poissons en sauce, le canard à l'orange, les viandes fumées : jambon de Parme, les fromages tels le Roquefort, le bleu des Causses.;10-12°C;6 à 12 ans;20,80 €
